Word,Class,isLessRelateOf,isRelateOf,isSynonymOf,isTheSameAs,Name,Info,Birthday,DateOfDeath,Education,Field,Nationality,PublicationDate
java,Entity,"search,google,công_cụ,microsoft,framework,matlab,tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,sort,overflow,cú_pháp,offline,bfs,dfs,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,thiết_kế,linear,donald_knuth,tuple,windows","algorithm,thuật_giải,giải_thuật,google,lập_trình,lập_trình_viên,công_cụ,microsoft,framework,matlab,algorithms",,,java,"Java (phiên âm Tiếng Việt: ""Gia-va"") là một ngôn ngữ lập trình hướng đối tượng (OOP) và dựa trên các lớp (class)[9]. Khác với phần lớn ngôn ngữ lập trình thông thường, thay vì biên dịch mã nguồn thành mã máy hoặc thông dịch mã nguồn khi chạy, Java được thiết kế để biên dịch mã nguồn thành bytecode, bytecode sau đó sẽ được môi trường thực thi (runtime environment) chạy. Trước đây, Java chạy chậm hơn những ngôn ngữ dịch thẳng ra mã máy như C và C++, nhưng sau này nhờ công nghệ ""biên dịch tại chỗ"" - Just in time compilation, khoảng cách này đã được thu hẹp, và trong một số trường hợp đặc biệt Java có thể chạy nhanh hơn. Java chạy nhanh hơn những ngôn ngữ thông dịch như Python, Perl, PHP gấp nhiều lần. Java chạy tương đương so với C#, một ngôn ngữ khá tương đồng về mặt cú pháp và quá trình dịch/chạy[10][11] Cú pháp Java được vay mượn nhiều từ C & C++ nhưng có cú pháp hướng đối tượng đơn giản hơn và ít tính năng xử lý cấp thấp hơn. Do đó việc viết một chương trình bằng Java dễ hơn, đơn giản hơn, đỡ tốn công sửa lỗi hơn. Trong Java, hiện tượng rò rỉ bộ nhớ hầu như không xảy ra do bộ nhớ được quản lý bởi Java Virtual Machine (JVM) bằng cách tự động ""dọn dẹp rác"". Người lập trình không phải quan tâm đến việc cấp phát và xóa bộ nhớ như C, C++. Tuy nhiên khi sử dụng những tài nguyên mạng, file IO, database (nằm ngoài kiểm soát của JVM) mà người lập trình không đóng (close) các streams thì rò rỉ dữ liệu vẫn có thể xảy ra.",1991,,,,,
offline,Entity,"tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,sort,online,bfs,dfs,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,thiết_kế,linear","algorithm,thuật_giải,giải_thuật,algorithms",,,offline,"Offline có nghĩa là ẩn, ngoại tuyến. Nghĩa là tình trạng chưa hoặc không kết nối với mạng Internet (chế độ tắt mạng), trái nghĩa với offline chính là online (trực tuyến).",,,,,,
sort,Entity,"search,graph,function,tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sự_kiện,bfs,dfs,parallel,độ_phức_tạp,lý_thuyết_đồ_thị,thiết_kế,linear,acm","algorithm,thuật_giải,giải_thuật,lặp,halmiton,swap,đảo_ngược,dijsktra,algorithms",sắp_xếp,,sort,,,,,,,
bfs,Entity,"google,công_cụ,lặp,halmiton,graph,đồ_thị_vô_hướng,đồ_thị,microsoft,framework,matlab,tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sort,tree,query,thiết_kế,dfs,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,linear,neighbor","algorithm,thuật_giải,giải_thuật,search,backtracking,loop,algorithms",,,bfs,duyệt theo chiều rộng,,,,,,
dfs,Entity,"google,công_cụ,lặp,halmiton,graph,đồ_thị_vô_hướng,đồ_thị,microsoft,framework,matlab,tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sort,bfs,tree,query,thiết_kế,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,linear,neighbor","algorithm,thuật_giải,giải_thuật,search,backtracking,loop,algorithms",,,dfs,duyệt theo chiều sâu,,,,,,
parallel,Other,"natural_language_processing,cấu_trúc_dữ_liệu,classification,nlp,ai,AI,tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sort,bfs,dfs,quy_hoạch_động,lý_thuyết_trò_chơi,thiết_kế,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,linear,thông_minh,neighbor,donald_knuth","algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,algorithms",song_song,,parallel,,,,,,,
dijsktra,Entity,"google,công_cụ,lặp,halmiton,swap,đảo_ngược,backtracking,microsoft,framework,matlab,tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,bfs,dfs,parallel,query,thiết_kế,độ_phức_tạp,lý_thuyết_đồ_thị,linear,neighbor","algorithm,thuật_giải,giải_thuật,search,sort,algorithms",,,Edsger Dijkstra,"Thuật toán Dijkstra, mang tên của nhà khoa học máy tính người Hà Lan Edsger Dijkstra vào năm 1956 và ấn bản năm 1959[1], là một thuật toán giải quyết bài toán đường đi ngắn nhất nguồn đơn trong một đồ thị có hướng không có cạnh mang trọng số âm. Thuật toán thường được sử dụng trong định tuyến với một chương trình con trong các thuật toán đồ thị hay trong công nghệ Hệ thống định vị toàn cầu (GPS).",,,,,,
độ_phức_tạp,Object,"tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sort,bfs,dfs,parallel,dijsktra,bruce_force,greedy,heap_sort,quick_sort,quy_hoạch_động,tìm_kiếm_nhị_phân,vét_cạn,đệ_qui,heapsort,quicksort,đệ_quy,thiết_kế,lý_thuyết_đồ_thị,linear","algorithm,thuật_giải,giải_thuật,thuật_toán,algorithms",complexity,,độ phức tạp,,,,,,,
lý_thuyết_đồ_thị,Object,"natural_language_processing,google,công_cụ,lặp,halmiton,backtracking,cấu_trúc_dữ_liệu,classification,nlp,ai,AI,microsoft,framework,matlab,tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sort,bfs,dfs,parallel,dijsktra,độ_phức_tạp,quy_hoạch_động,cây,toán_học,tree,ctdl,query,node,lý_thuyết_trò_chơi,thiết_kế,insert,thông_minh,neighbor,xóa_đỉnh,euclidean,không_gian_vector,linear,donald_knuth,vertex,liên_thông,trạng_thái","algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,euler,graph,đồ_thị_vô_hướng,theory,đồ_thị,algorithms",theorem_graphic,,lý thuyết đồ thị,"Trong toán học và tin học, lý thuyết đồ thị nghiên cứu các tính chất của đồ thị. Một cách không chính thức, đồ thị là một tập các đối tượng được gọi là các đỉnh (hoặc nút) nối với nhau bởi các cạnh (hoặc cung). Cạnh có thể có hướng hoặc vô hướng. Đồ thị thường được vẽ dưới dạng một tập các điểm (các đỉnh nối với nhau bằng các đoạn thẳng (các cạnh). Đồ thị biểu diễn được rất nhiều cấu trúc, nhiều bài toán thực tế có thể được biểu diễn bằng đồ thị. Ví dụ, cấu trúc liên kết của một website có thể được biểu diễn bằng một đồ thị có hướng như sau: các đỉnh là các trang web hiện có tại website, tồn tại một cạnh có hướng nối từ trang A tới trang B khi và chỉ khi A có chứa 1 liên kết tới B. Do vậy, sự phát triển của các thuật toán xử lý đồ thị là một trong các mối quan tâm chính của khoa học máy tính. Cấu trúc đồ thị có thể được mở rộng bằng cách gán trọng số cho mỗi cạnh. Có thể sử dụng đồ thị có trọng số để biểu diễn nhiều khái niệm khác nhau. Ví dụ, nếu đồ thị biểu diễn một mạng đường giao thông, các trọng số có thể là độ dài của mỗi con đường. Một cách khác để mở rộng đồ thị cơ bản là quy định hướng cho các cạnh của đồ thị (như đối với các trang web, A liên kết tới B, nhưng B không nhất thiết cũng liên kết tới A). Loại đồ thị này được gọi là đồ thị có hướng. Một đồ thị có hướng với các cạnh có trọng số được gọi là một lưới. Các lưới có nhiều ứng dụng trong khía cạnh thực tiễn của lý thuyết đồ thị, chẳng hạn, phân tích lưới có thể dùng để mô hình hoá và phân tích mạng lưới giao thông hoặc nhằm ""phát hiện"" hình dáng của Internet - (Xem thêm các ứng dụng đưới đây. Mặc dù vậy, cũng nên lưu ý rằng trong phân tích lưới, thì định nghĩa của khái niệm ""lưới"" có thể khác nhau và thường được chỉ ra bằng một đồ thị đơn giản.)",,,,,,
thiết_kế,Other,"khoa_học_máy_tính,tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sort,bfs,dfs,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,bruce_force,greedy,heap_sort,quick_sort,quy_hoạch_động,tìm_kiếm_nhị_phân,vét_cạn,đệ_qui,heapsort,quicksort,đệ_quy,kernel,debug,linear","algorithm,thuật_giải,giải_thuật,thuật_toán,embed,cấu_trúc_dữ_liệu,algorithms",,,thiết kế,,,,,,,
linear,Entity,"natural_language_processing,heuristic,swap,cấu_trúc_dữ_liệu,nlp,ai,AI,tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sort,bfs,dfs,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,thiết_kế,quy_hoạch_động,ctdl,đầu_vào,tài_liệu,train,protocol,mã_băm,dataset,lý_thuyết_trò_chơi,phân_hoạch,overflow,thông_minh,neighbor,kĩ_thuật,chiến_lược,donald_knuth,tuple,dung_lượng,tham_số,ánh_xạ,truy_nhập","algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,classification,dữ_liệu,function,algorithms",,,linear, Thuật toán Linear Regression mô tả dữ liệu và thể hiện mối quan hệ giữa một biến phụ thuộc với một hoặc nhiều biến độc lập. Tức là nếu biến độc lập thay đổi thì ảnh hưởng đến biến phụ thuộc như thế nào.,,,,,,
thuật_giải,Object,"hiệu_quả,khoa_học_máy_tính,search,tìm_kiếm,natural_language_processing,google,liên_tục,heuristic,lập_trình,lập_trình_viên,công_cụ,lặp,halmiton,swap,đảo_ngược,backtracking,loop,euler,graph,đồ_thị_vô_hướng,theory,embed,cấu_trúc_dữ_liệu,classification,dữ_liệu,function,đồ_thị,nlp,ai,AI,microsoft,framework,matlab","tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sort,bfs,dfs,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,thiết_kế,linear","algorithm,giải_thuật,thuật_toán,algorithms",giải_thuật,thuật giải,"Thuật toán (tiếng Anh: Algorithm) , còn gọi là giải thuật, là một tập hợp hữu hạn của các chỉ thị hay phương cách được định nghĩa rõ ràng cho việc hoàn tất một số sự việc từ một trạng thái ban đầu cho trước; khi các chỉ thị này được áp dụng triệt để thì sẽ dẫn đến kết quả sau cùng như đã dự đoán trước. Nói cách khác, thuật toán là một bộ các quy tắc hay quy trình cụ thể nhằm giải quyết một vấn đề trong một số bước hữu hạn, hoặc nhằm cung cấp một kết quả từ một tập hợp của các dữ kiện đưa vào.",,,,,,
giải_thuật,Object,"hiệu_quả,khoa_học_máy_tính,search,tìm_kiếm,natural_language_processing,google,liên_tục,heuristic,lập_trình,lập_trình_viên,công_cụ,lặp,halmiton,swap,đảo_ngược,backtracking,loop,euler,graph,đồ_thị_vô_hướng,theory,embed,cấu_trúc_dữ_liệu,classification,dữ_liệu,function,đồ_thị,nlp,ai,AI,microsoft,framework,matlab","tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sort,bfs,dfs,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,thiết_kế,linear","algorithm,thuật_toán,algorithms,thuật_giải",thuật_giải,thuật giải,"Thuật toán (tiếng Anh: Algorithm) , còn gọi là giải thuật, là một tập hợp hữu hạn của các chỉ thị hay phương cách được định nghĩa rõ ràng cho việc hoàn tất một số sự việc từ một trạng thái ban đầu cho trước; khi các chỉ thị này được áp dụng triệt để thì sẽ dẫn đến kết quả sau cùng như đã dự đoán trước. Nói cách khác, thuật toán là một bộ các quy tắc hay quy trình cụ thể nhằm giải quyết một vấn đề trong một số bước hữu hạn, hoặc nhằm cung cấp một kết quả từ một tập hợp của các dữ kiện đưa vào.",,,,,,
thuật_toán,Object,"khoa_học_máy_tính,richard_bellman,tìm_kiếm,bellman,sắp_xếp,embed,cấu_trúc_dữ_liệu","bruce_force,greedy,heap_sort,quick_sort,quy_hoạch_động,tìm_kiếm_nhị_phân,vét_cạn,đệ_qui,heapsort,quicksort,đệ_quy,độ_phức_tạp,thiết_kế","algorithm,thuật_giải,giải_thuật,algorithms",,thuật toán,"Thuật toán (tiếng Anh: Algorithm) , còn gọi là giải thuật, là một tập hợp hữu hạn của các chỉ thị hay phương cách được định nghĩa rõ ràng cho việc hoàn tất một số sự việc từ một trạng thái ban đầu cho trước; khi các chỉ thị này được áp dụng triệt để thì sẽ dẫn đến kết quả sau cùng như đã dự đoán trước. Nói cách khác, thuật toán là một bộ các quy tắc hay quy trình cụ thể nhằm giải quyết một vấn đề trong một số bước hữu hạn, hoặc nhằm cung cấp một kết quả từ một tập hợp của các dữ kiện đưa vào.",,,,,,
algorithms,Object,"hiệu_quả,khoa_học_máy_tính,search,tìm_kiếm,natural_language_processing,google,liên_tục,heuristic,lập_trình,lập_trình_viên,công_cụ,lặp,halmiton,swap,đảo_ngược,backtracking,loop,euler,graph,đồ_thị_vô_hướng,theory,embed,cấu_trúc_dữ_liệu,classification,dữ_liệu,function,đồ_thị,nlp,ai,AI,microsoft,framework,matlab","tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sort,bfs,dfs,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,thiết_kế,linear","algorithm,thuật_giải,giải_thuật,thuật_toán",algorithm,algorithm,"Thuật toán (tiếng Anh: Algorithm) , còn gọi là giải thuật, là một tập hợp hữu hạn của các chỉ thị hay phương cách được định nghĩa rõ ràng cho việc hoàn tất một số sự việc từ một trạng thái ban đầu cho trước; khi các chỉ thị này được áp dụng triệt để thì sẽ dẫn đến kết quả sau cùng như đã dự đoán trước. Nói cách khác, thuật toán là một bộ các quy tắc hay quy trình cụ thể nhằm giải quyết một vấn đề trong một số bước hữu hạn, hoặc nhằm cung cấp một kết quả từ một tập hợp của các dữ kiện đưa vào.",,,,,,
richard_bellman,Entity,"thuật_toán,khoa_học_máy_tính",quy_hoạch_động,,bellman,richard bellman,"Richard Ernest Bellman là một nhà toán học ứng dụng người Mỹ, được ghi nhớ vì phát minh ra quy hoạch động vào năm 1953, và nhiều đóng góp quan trọng trong nhiều lĩnh vực toán học khác.",26 tháng 8 năm 1920,19 tháng 3 năm 1984,,Toán học ứng dụng,Hoa Kỳ,
bellman,Entity,"thuật_toán,khoa_học_máy_tính",quy_hoạch_động,,richard_bellman,richard bellman,"Richard Ernest Bellman là một nhà toán học ứng dụng người Mỹ, được ghi nhớ vì phát minh ra quy hoạch động vào năm 1953, và nhiều đóng góp quan trọng trong nhiều lĩnh vực toán học khác.",26 tháng 8 năm 1920,19 tháng 3 năm 1984,,Toán học ứng dụng,Hoa Kỳ,
sắp_xếp,Other,thuật_toán,"heap_sort,heapsort,quick_sort,quicksort",sort,,sắp xếp,,,,,,,
bruce_force,Entity,"độ_phức_tạp,thiết_kế,greedy,heap_sort,quick_sort,quy_hoạch_động,tìm_kiếm_nhị_phân,vét_cạn,đệ_qui,heapsort,quicksort,đệ_quy",thuật_toán,,,bruce force,"Brute Force là một thuật toán vét cạn, thuật toán này sẽ chạy tất cả các trường hợp có thể có để giải quyết một vấn đề nào đó (Bao gồm cả trường hợp đúng và các trường hợp sai hay còn gọi là trường hợp dư thừa).",,,,,,
greedy,Entity,"độ_phức_tạp,thiết_kế,bruce_force,heap_sort,quick_sort,quy_hoạch_động,tìm_kiếm_nhị_phân,vét_cạn,đệ_qui,heapsort,quicksort,đệ_quy",thuật_toán,tham_lam,,greedy,Giải thuật tham lam (tiếng Anh: Greedy algorithm) là một thuật toán giải quyết một bài toán theo kiểu metaheuristic để tìm kiếm lựa chọn tối ưu địa phương ở mỗi bước đi với hy vọng tìm được tối ưu toàn cục.,,,,,,
heap_sort,Entity,"độ_phức_tạp,thiết_kế,bruce_force,greedy,quick_sort,quy_hoạch_động,tìm_kiếm_nhị_phân,vét_cạn,đệ_qui,quicksort,đệ_quy","thuật_toán,sắp_xếp",,heapsort,heap sort,"Sắp xếp vun đống (Heapsort) là thuật toán sắp xếp dựa trên một cấu trúc dữ liệu được gọi là đống nhị phân (binary heap), gọi đơn giản là đống.",,,,,,
quick_sort,Entity,"độ_phức_tạp,thiết_kế,bruce_force,greedy,heap_sort,heapsort,quy_hoạch_động,tìm_kiếm_nhị_phân,vét_cạn,đệ_qui,đệ_quy","thuật_toán,sắp_xếp",,quicksort,quick sort,"Sắp xếp nhanh (Quicksort), còn được gọi là sắp xếp kiểu phân chia (part sort) là một thuật toán sắp xếp phát triển bởi C.A.R. Hoare",,,,,,
quy_hoạch_động,Entity,"natural_language_processing,cấu_trúc_dữ_liệu,classification,nlp,ai,AI,rời_rạc,truy_hồi,parallel,độ_phức_tạp,lý_thuyết_đồ_thị,thiết_kế,linear,bruce_force,greedy,heap_sort,quick_sort,heapsort,quicksort,tìm_kiếm_nhị_phân,vét_cạn,đệ_qui,đệ_quy,lý_thuyết_trò_chơi,thông_minh,neighbor,donald_knuth","thuật_toán,khoa_học_máy_tính,richard_bellman,bellman",,,quy hoạch động,"Trong ngành khoa học máy tính, quy hoạch động là một phương pháp giảm thời gian chạy của các thuật toán thể hiện các tính chất của các bài toán con gối nhau (overlapping subproblem) và cấu trúc con tối ưu (optimal substructure).",,,,,,
tìm_kiếm_nhị_phân,Entity,"heuristic,truy_hồi,độ_phức_tạp,thiết_kế,bruce_force,greedy,heap_sort,quick_sort,quy_hoạch_động,heapsort,quicksort,vét_cạn,đệ_qui,đệ_quy","thuật_toán,tìm_kiếm",binary_search,,tìm kiếm nhị phân,,,,,,,
vét_cạn,Entity,"độ_phức_tạp,thiết_kế,bruce_force,greedy,heap_sort,quick_sort,quy_hoạch_động,tìm_kiếm_nhị_phân,heapsort,quicksort,đệ_qui,đệ_quy",thuật_toán,backtracking,,vét cạn,,,,,,,
đệ_qui,Entity,"độ_phức_tạp,thiết_kế,bruce_force,greedy,heap_sort,quick_sort,quy_hoạch_động,tìm_kiếm_nhị_phân,vét_cạn,heapsort,quicksort",thuật_toán,"recursion,đệ_quy",đệ_quy,đệ qui,,,,,,,
heapsort,Entity,"độ_phức_tạp,thiết_kế,bruce_force,greedy,quick_sort,quy_hoạch_động,tìm_kiếm_nhị_phân,vét_cạn,đệ_qui,quicksort,đệ_quy","thuật_toán,sắp_xếp",,heap_sort,heap sort,"Sắp xếp vun đống (Heapsort) là thuật toán sắp xếp dựa trên một cấu trúc dữ liệu được gọi là đống nhị phân (binary heap), gọi đơn giản là đống.",,,,,,
quicksort,Entity,"độ_phức_tạp,thiết_kế,bruce_force,greedy,heap_sort,heapsort,quy_hoạch_động,tìm_kiếm_nhị_phân,vét_cạn,đệ_qui,đệ_quy","thuật_toán,sắp_xếp",,quick_sort,quick sort,"Sắp xếp nhanh (Quicksort), còn được gọi là sắp xếp kiểu phân chia (part sort) là một thuật toán sắp xếp phát triển bởi C.A.R. Hoare",,,,,,
đệ_quy,Entity,"độ_phức_tạp,thiết_kế,bruce_force,greedy,heap_sort,quick_sort,quy_hoạch_động,tìm_kiếm_nhị_phân,vét_cạn,heapsort,quicksort",thuật_toán,"đệ_qui,recursion",đệ_qui,đệ qui,,,,,,,
train,Entity,"khoa_học_máy_tính,linear,ctdl,tài_liệu,neighbor,chiến_lược,kĩ_thuật,protocol,dataset,overflow,tuple,dung_lượng","classification,dữ_liệu",huấn_luyện,,train,"Một tập huấn luyện được sử dụng trong trí tuệ nhân tạo, cùng với phương pháp học có giám sát, và nó bao gồm một vec-tơ đầu vào và một vec-tơ kết quả.",,,,,,
chiến_lược,Other,"khoa_học_máy_tính,dữ_liệu,linear,train,neighbor,kĩ_thuật",classification,,,chiến lược,,,,,,,
kĩ_thuật,Other,"khoa_học_máy_tính,tìm_kiếm,natural_language_processing,lập_trình_viên,đồ_thị_vô_hướng,dữ_liệu,function,đồ_thị,nlp,ai,AI,tối_ưu_hóa,linear,train,chiến_lược,ctdl,node,lý_thuyết_trò_chơi,neighbor","heuristic,classification,xóa_đỉnh,tuple",,,kĩ thuật,,,,,,,
tài_liệu,Object,"khoa_học_máy_tính,google,heuristic,công_cụ,classification,microsoft,framework,matlab,truy_hồi,linear,train,ctdl,cấp_phát,var,chuỗi,query,bool,kernel,thông_minh,thuật_ngữ,protocol,overflow,tuple,dung_lượng,giải_phóng,biến_số,bit,mâu_thuẫn,trạng_thái","natural_language_processing,dữ_liệu,nlp,ai,AI,bộ_nhớ,string,dataset",,,tài liệu,,,,,,,
thuật_ngữ,Entity,"khoa_học_máy_tính,heuristic,truy_hồi,tài_liệu,cấp_phát,chuỗi,string,bool,class,operator,toán_tử,thông_minh,giải_phóng,biên_toàn_cục","natural_language_processing,nlp,ai,AI,hằng_số,var,oop",,,thuật ngữ,,,,,,,
chuỗi,Object,"khoa_học_máy_tính,natural_language_processing,heuristic,nlp,ai,AI,truy_hồi,tài_liệu,thuật_ngữ,thông_minh,var,query,bool,input,đầu_vào","natural_language_processing,nlp,ai,AI,string",string,,chuỗi,"Chuỗi ký tự là một dãy gồm các ký tự hoặc một mảng các ký tự được kết thúc bằng ký tự '\0' (còn được gọi là ký tự NULL trong bảng mã Ascii). Các hằng chuỗi ký tự được đặt trong cặp dấu nháy kép """".",,,,,,
lý_thuyết_trò_chơi,Entity,"tìm_kiếm,natural_language_processing,cấu_trúc_dữ_liệu,classification,function,nlp,ai,AI,rời_rạc,truy_hồi,tối_ưu_hóa,parallel,lý_thuyết_đồ_thị,linear,quy_hoạch_động,kĩ_thuật,thông_minh,neighbor,donald_knuth","khoa_học_máy_tính,heuristic,theory",,,lý thuyết trò chơi,"Lý thuyết trò chơi là một nhánh của Toán học ứng dụng. Ngành này nghiên cứu các tình huống chiến thuật trong đó các đối thủ lựa chọn các hành động khác nhau để cố gắng làm tối đa kết quả nhận được. Ban đầu được phát triển như là một công cụ để nghiên cứu hành vi kinh tế học, ngày nay Lý thuyết trò chơi được sử dụng trong nhiều ngành khoa học, từ Sinh học tới Triết học. Lý thuyết trò chơi đã có sự phát triển lớn từ khi John von Neumann là người đầu tiên hình thức hóa nó trong thời kỳ trước và trong Chiến tranh Lạnh, chủ yếu do áp dụng của nó trong chiến lược quân sự, nổi tiếng nhất là khái niệm đảm bảo phá hủy lẫn nhau (mutual assured destruction). Bắt đầu từ những năm 1970, Lý thuyết trò chơi bắt đầu được áp dụng cho nghiên cứu về hành vi động vật, trong đó có sự phát triển của các loài qua chọn lọc tự nhiên. Do các trò chơi hay như Song đề tù nhân(prisoner's dilemma), trong đó lợi ích cá nhân làm hại cho tất cả mọi người, Lý thuyết trò chơi đã bắt đầu được dùng trong Chính trị học, Đạo đức họcvà triết học. Cuối cùng, Lý thuyết trò chơi gần đây đã thu hút được sự chú ý của các nhà Khoa học máy tính do ứng dụng của nó trong Trí tuệ nhân tạo và Điều khiển học.",,,,,,
thông_minh,Object,"heuristic,cấu_trúc_dữ_liệu,classification,rời_rạc,truy_hồi,parallel,lý_thuyết_đồ_thị,linear,quy_hoạch_động,tài_liệu,thuật_ngữ,lý_thuyết_trò_chơi,chuỗi,neighbor,donald_knuth","khoa_học_máy_tính,natural_language_processing,nlp,ai,AI",,,thông minh,"Trí thông minh hay trí năng được định nghĩa theo nhiều cách khác nhau bao gồm khả năng logic, trừu tượng, sự hiểu biết, tự nhận thức, học tập, có trí tuệ xúc cảm, trí nhớ, kế hoạch, và giải quyết vấn đề. Trí thông minh được nghiên cứu rộng rãi ở loài người, nhưng cũng được quan sát ở động vậtvà thực vật. Trí tuệ nhân tạo là sự mô phỏng trí thông minh ở máy móc.",,,,,,
neighbor,Object,"natural_language_processing,google,công_cụ,lặp,halmiton,backtracking,cấu_trúc_dữ_liệu,dữ_liệu,nlp,ai,AI,microsoft,framework,matlab,rời_rạc,truy_hồi,bfs,dfs,parallel,dijsktra,lý_thuyết_đồ_thị,linear,quy_hoạch_động,train,chiến_lược,kĩ_thuật,lý_thuyết_trò_chơi,thông_minh,query,donald_knuth","khoa_học_máy_tính,search,classification",,,neighbor,,,,,,,
donald_knuth,Entity,"natural_language_processing,google,công_cụ,cấu_trúc_dữ_liệu,classification,nlp,ai,AI,microsoft,framework,matlab,rời_rạc,truy_hồi,java,parallel,lý_thuyết_đồ_thị,linear,quy_hoạch_động,lý_thuyết_trò_chơi,thông_minh,neighbor,cú_pháp,tuple","khoa_học_máy_tính,lập_trình_viên",,,Donald Ervin Knuth,"Donald Ervin Knuth (sinh ngày 10 tháng 1, năm 1938) là một nhà khoa học máy tính nổi tiếng hiện đang là giáo sư danh dự tại Đại học Stanford. Knuth được biết đến nhiều nhất là tác giả của bộ sách Nghệ thuật lập trình máy tính (The Art of Computer Programming, TAOCP), một trong những sách tham khảo được coi trọng nhất trong ngành khoa học máy tính. Ông đã tạo ra ngành phân tích thuật toán và đã đem lại nhiều cống hiến nền tảng cho ngành khoa học máy tính lý thuyết. Ông đã tạo ra hệ thống sắp chữ TEX và hệ thống phát họa phông chữ METAFONT, và cũng là người khởi xướng khái niệm lập trình học thức (literate programming)

","10 tháng 1, 1938",,Đại học Standford,Khoa học máy tính,Hoa Kì,
computer_science,Object,,,khoa_học_máy_tính,,computer science,Khoa học máy tính (tiếng Anh: computer science) là ngành nghiên cứu các cơ sở lý thuyết về thông tin và tính toán cùng sự thực hiện và ứng dụng của chúng trong các hệ thống máy tính.,,,,,,
luật,Object,"search,natural_language_processing,nlp,ai,AI,input,lời_giải,đáp_án","suy_diễn_lùi,suy_diễn_tiến,sự_kiện,acm",,,luật,"Phương pháp biểu diễn tri thức bằng luật sinh được phát minh bởi Newell và Simon trong lúc hai ông đang cố gắng xây dựng một hệ giải bài toán tổng quát. Đây là một kiểu biểu diễn tri thức có cấu trúc. Ý tưởng cơ bản là tri thức có thể được cấu trúc bằng một cặp điều kiện – hành động : ""NẾU điều kiện xảy ra THÌ hành động sẽ được thi hành"". Chẳng hạn : NẾU đèn giao thông là đỏ THÌ bạn không được đi thẳng, NẾU máy tính đã mở mà không khởi động được THÌ kiểm tra nguồn điện, …",,,,,,
sự_kiện,Object,"search,sort,lời_giải,đáp_án","suy_diễn_lùi,suy_diễn_tiến,luật",,acm,sự kiện,"ACM, viết tắt từ Association for Computing Machinery, thành lập năm 1947, là một hiệp hội quốc tế về nghiên cứu, giáo dục ngành Khoa học máy tính và Tin học uy tín nhất thế giới với hơn 100.000 hội viên, tính đến năm 2011.",,,,,,
windows,Entity,"search,google,lập_trình_viên,công_cụ,microsoft,framework,matlab,truy_hồi,java,kernel,cú_pháp","google,công_cụ,microsoft,framework,matlab",,,windows,"Microsoft Windows (hoặc đơn giản là Windows) là tên của một họ hệ điều hành dựa trên giao diện người dùng đồ hoạ được phát triển và được phân phối bởi Microsoft. Nó bao gồm một vài các dòng hệ điều hành, mỗi trong số đó phục vụ một phần nhất định của ngành công nghiệp máy tính. Các dòng Windows hiện tại gồm Windows NT, Windows Embedded và Windows Phone; chúng có thể bao gồm các phân họ, VD: Windows Embedded Compact (Windows CE) hoặc Windows Server. Các dòng Windows đã bị ngừng gồm Windows 9x và Windows Mobile.",,,,,,
string,Entity,"search,natural_language_processing,dữ_liệu,nlp,ai,AI,thuật_ngữ,bộ_nhớ,variance,dataset,cấp_phát,query,bool,overflow,mã_băm,tham_số,giải_phóng,biên_toàn_cục","tài_liệu,var,chuỗi,query,bool",chuỗi,,string,,,,,,,
acm,Object,"search,sort,lời_giải,đáp_án","suy_diễn_lùi,suy_diễn_tiến,luật",,sự_kiện,sự kiện,"ACM, viết tắt từ Association for Computing Machinery, thành lập năm 1947, là một hiệp hội quốc tế về nghiên cứu, giáo dục ngành Khoa học máy tính và Tin học uy tín nhất thế giới với hơn 100.000 hội viên, tính đến năm 2011.",,,,,,
